sample-id	sample-name	group-id	group-desc
S210421121677	#5 N9.03	NR	Ninhada reduzida
S210421121678	#6 N10.03	NR	Ninhada reduzida
S210421121679	#7 N10.04	NR	Ninhada reduzida
S210421121680	#8 N10.07	NR	Ninhada reduzida
S210421121681	#9 N10.08	NR	Ninhada reduzida
S210421121685	#13 N7.03	STD-NR	Grupo dieta padrão
S210421121686	#14 N7.04	STD-NR	Grupo dieta padrão
S210421121687	#15 N8.03	STD-NR	Grupo dieta padrão
S210421121703	#31 N1.02	STD-NR	Grupo dieta padrão
S210421121704	#32 N1.03	STD-NR	Grupo dieta padrão
S210421121705	#33 N2.02	STD-NR	Grupo dieta padrão
S210421121706	#34 N2.03	STD-NR	Grupo dieta padrão
